,Liver_cancer,Kidney_cancer,"Tracheal,_bronchus,_and_lung_cancer",Malignant_skin_melanoma,Leukemia,Breast_cancer,Prostate_cancer,Thyroid_cancer,Bladder_cancer,Uterine_cancer,Ovarian_cancer,Cervical_cancer,Non-Hodgkin_lymphoma,Pancreatic_cancer,Colon_and_rectum_cancer
Adjusted savings: carbon dioxide damage (% of GNI),0.24571332835398857,0.03139386548471155,0.0,0.01150023580666169,0.06988806609317258,0.07544940991055725,0.09191178627789087,0.00909375211999929,0.007530313736592468,0.1242785473678788,0.035110723729645126,0.06508812922842089,0.0,0.0,0.0
Adjusted savings: natural resources depletion (% of GNI),0.0,0.0,0.0,0.0,0.08442116566994483,0.0,0.0,0.0,0.0,0.10954165281014239,0.11958664599702838,0.0,0.0,0.0,0.0
Adjusted savings: net forest depletion (% of GNI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12297881322933228,0.0,0.0,0.0,0.0,0.0
Adjusted savings: particulate emission damage (% of GNI),0.0,0.829967159790761,0.5429339190929972,0.6265105908116022,0.16173017653822533,0.05851430324702214,0.04367404218835104,0.22216202401412524,0.5845538098059477,0.0,0.7922285001126059,0.0,0.7580366238053954,0.8541690086110331,0.5754450135559094
GDP (current US$),0.13226635125732716,0.0,0.0,0.0,0.003046765689157202,0.0,0.0,0.0,0.055807153279062105,0.0,0.0,0.48073473838154446,0.0,0.0,0.0
Renewable energy consumption,0.0,0.0,0.0,0.08634718028824613,0.04030024168762852,0.0,0.0,0.0,0.0,0.0,0.009528160373130472,0.0,0.0,0.0,0.1503757339934039
"Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes",0.0,0.0,0.21601197669515132,0.0,0.0,0.0,0.0,0.0,0.02894255289494217,0.0,0.0,0.0,0.0,0.0,0.029054314658705203
"Life expectancy at birth, total (years)",0.0,0.0515435639687315,0.025038469154191924,0.0,0.07673642713347628,0.15525865170928238,0.5304814636913925,0.13617898515577012,0.014073633411869601,0.054367327466920926,0.0435459697875902,0.11108457662069805,0.06830303325902584,0.0,0.0
Population,0.5596539916607475,0.0,0.0,0.0,0.0,0.054673547606331564,0.0,0.0,0.0,0.0,0.0,0.0,0.07761799348066495,0.0,0.0021634362644910605
Rural population (% of total population),0.0,0.0,0.0,0.10322725642830766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total natural resources rents (% of GDP),0.06236632872793686,0.08709541075579605,0.21601563505765953,0.09352582613489184,0.5638771571883952,0.6561040875268067,0.075940805582041,0.03163381545576246,0.17021667177132735,0.5888336591257257,0.0,0.1513354891970784,0.0,0.11206424302081407,0.24296150152749055
Urban population (% of total population),0.0,0.0,0.0,0.07888891053029046,0.0,0.0,0.2579919022603246,0.0,0.1388758651002585,0.0,0.0,0.19175706657225824,0.09604234945491384,0.0337667483681528,0.0
Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009314232543428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_score,0.7984850107092117,0.7246881551930267,0.6856545561329666,0.7712839307477127,0.7638665707156788,0.6258841840927241,0.7018026982251112,0.6932594627756685,0.7037483708645278,0.6729027530566787,0.7295687526781636,0.48916745318223653,0.7840302665380272,0.7574768493768568,0.7113153550486002
testing_score,-0.9217305118394732,0.4194837857929462,0.24612361758052603,0.5741831520834589,0.5410924907141996,0.6707819442124439,0.5486922810664767,0.37863753566384384,0.4849514645440691,0.1671532158248249,0.424715832128428,0.15407776804986728,0.7041944184000399,0.619374092338383,0.32367472904488837
