,Liver_cancer,Kidney_cancer,"Tracheal,_bronchus,_and_lung_cancer",Malignant_skin_melanoma,Leukemia,Breast_cancer,Prostate_cancer,Thyroid_cancer,Bladder_cancer,Uterine_cancer,Ovarian_cancer,Cervical_cancer,Non-Hodgkin_lymphoma,Pancreatic_cancer,Colon_and_rectum_cancer
Adjusted savings: carbon dioxide damage (% of GNI),0.285666735834574,0.05090599226889763,0.08432303800129647,0.07192208249291118,0.03789356448176991,0.09298384637352114,0.06293367150666687,0.03932296954875427,0.07349855529645385,0.12344288935442012,0.0659526317416977,0.0686143092925917,0.020833523266165933,0.04973840697669288,0.05835696197556847
Adjusted savings: natural resources depletion (% of GNI),0.09497271970378199,0.05068492505342616,0.055813235794124616,0.04961014365835109,0.07065578816796936,0.09400170253957102,0.023864609965291283,0.04284812802305765,0.0662679476818049,0.08590059278720105,0.0719967402520748,0.037032954373846405,0.03425924891346796,0.04965112672192573,0.06337670941982962
Adjusted savings: net forest depletion (% of GNI),0.012194064285481023,0.008981519020010329,0.009390150588963602,0.008844753881690757,0.011706875244507859,0.017582553728608615,0.026731047663396665,0.006940055894736824,0.0068387789123936496,0.048400773095104724,0.012488887091345128,0.04428854082665307,0.011166688105569597,0.007727277369908549,0.008979225487631238
Adjusted savings: particulate emission damage (% of GNI),0.04622975997593701,0.48720353899115687,0.26553438177102484,0.47452071644142746,0.17597490748573988,0.15216575239649568,0.3088293475479555,0.14786999881281726,0.2748599550858494,0.12505588880709942,0.4079535832566362,0.05511479467333294,0.3222635654256986,0.4143462429070638,0.28026327253146444
GDP (current US$),0.11792619467189895,0.04296222914013417,0.04018841802845442,0.024919645956609258,0.040375260742244706,0.02515582974702897,0.027127011124201326,0.03851958367282849,0.05045461198438386,0.029291301899752983,0.030197423989857575,0.12366860474096487,0.022528044632240694,0.03713046407657654,0.0655489790783334
Renewable energy consumption,0.06292334659827467,0.05241974034670228,0.03010432686335734,0.03520131045557164,0.052656328640248225,0.06829718283401481,0.05916898484114358,0.09807145230056441,0.050998301796746,0.07061611257064905,0.054832751119030354,0.1191350205092564,0.02551508575655799,0.0512442032347656,0.05920993260168436
"Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes",0.06519178013515595,0.04981873876993841,0.07687246118264475,0.036919063808098576,0.05068481976226737,0.023660284601275478,0.03348510199042464,0.029830188270562892,0.04050336975725207,0.032357690249065756,0.04416598763380627,0.09389676637602955,0.02583562748927428,0.04833707893543363,0.052644773231012056
"Life expectancy at birth, total (years)",0.14155504642890132,0.11190560444815362,0.10127977400386992,0.11565338405989677,0.16020508158562147,0.128804642631663,0.18772076103454327,0.15843124238403714,0.15288174706959454,0.047233847283360594,0.13263591203774944,0.19363989218774452,0.42211806203955476,0.1391575402193764,0.13162702982964683
Population,0.0323671981029159,0.02366297904191655,0.02789323919409205,0.01894208734234744,0.022105983129349145,0.0420971727151989,0.061340700366413745,0.03465494155627616,0.03550570822300084,0.051667176605855264,0.018997826963033353,0.06566001007368295,0.026570955928153964,0.018974233980572915,0.018452585892880412
Rural population (% of total population),0.01400217512733704,0.0170261296414943,0.02203996932896784,0.028986100773987524,0.02367800984766472,0.030203219546336348,0.0606541091803933,0.01969632740987122,0.027903237116143852,0.03147995233754683,0.020315643726961406,0.060430181649788875,0.0239606125591452,0.016717691471165193,0.014741959861982729
Total natural resources rents (% of GDP),0.11158534783849414,0.0796287998760753,0.21443543856178235,0.10416556952771316,0.2781051657977037,0.24853082155975786,0.09289543395083306,0.05234116930061639,0.16455631769362322,0.31634294402701885,0.1105611422435496,0.06323783700408486,0.03724154555604286,0.13020896649118602,0.18374538559236278
Urban population (% of total population),0.013314894117458316,0.02086562365059517,0.03254830531195086,0.02852131867663281,0.02755890535186231,0.03308499610864275,0.04050554073818845,0.016025242642512955,0.036275930201272524,0.02811246784479438,0.014427770873115918,0.0727903810355364,0.02454493435686441,0.017189007920605744,0.018461575400016687
Class,0.0020707371797896615,0.003934179751499196,0.03957726136947107,0.0017938229247623661,0.04839930976305119,0.043431995217885454,0.014743680090548248,0.31544870018336446,0.019455539181481407,0.01009836313813093,0.015473699071142159,0.002490707256487522,0.0031621059712637766,0.01957775969472704,0.04459160909758693
training_score,0.8253751689660336,0.9400234709798138,0.9322464689120633,0.9387310554925075,0.9358166077829506,0.9125608528942699,0.9141093369871865,0.9275038569743906,0.930654454270744,0.9083699918603102,0.9462468887094646,0.8999676007624395,0.9400430992045237,0.9443714521474124,0.9330872587247075
testing_score,0.27733298145996554,0.49485767777969014,0.5961484868547531,0.6643414075760556,0.5838894728898545,0.7137022766440431,0.690416314644462,0.47930737251032396,0.5703923236230417,0.368522223580922,0.4678102050251779,0.3918829330436949,0.8123657693636694,0.6761632988538404,0.748473152914982
