economic_factors,decision_tree_liver_cancer,decision_tree_kidney_cancer,decision_tree_tracheal_bronchus_lung_cancer,decision_tree_malignant_skin_melanoma,decision_tree_leukemia_cancer,decision_tree_breast_cancer,decision_tree_prostate_cancer,decision_tree_thyroid_cancer,decision_tree_bladder_cancer,decision_tree_uterine_cancer,decision_tree_ovarian_cancer,decision_tree_cervical_cancer,decision_tree_non_hodgkin_lymphoma,decision_tree_pancreatic_cancer,decision_tree_colon_and_rectum_cancer,linear_regression_liver_cancer,linear_regression_kidney_cancer,linear_regression_tracheal_bronchus_and_lung_cancer,linear_regression_malignant_skin_melanoma,linear_regression_leukemia_cancer,linear_regression_breast_cancer,linear_regression_prostate_cancer,linear_regression_thyroid_cancer,linear_regression_bladder_cancer,linear_regression_uterine_cancer,linear_regression_ovarian_cancer,linear_regression_cervical_cancer,linear_regression_non_hodgkin_lymphoma,linear_regression_pancreatic_cancer,linear_regression_colon_and_rectum_cancer,random_forest_liver_cancer,random_forest_kidney_cancer,random_forest_tracheal_bronchus_and_lung_cancer,random_forest_malignant_skin_melanoma,random_forest_leukemia_cancer,random_forest_breast_cancer,random_forest_prostate_cancer,random_forest_thyroid_cancer,random_forest_bladder_cancer,random_forest_uterine_cancer,random_forest_ovarian_cancer,random_forest_cervical_cancer,random_forest_non_hodgkin_lymphoma,random_forest_pancreatic_cancer,random_forest_colon_and_rectum_cancer
Adjusted savings: carbon dioxide damage (% of GNI)                                                  ,0.24571332835398900,0.03139386548471160,0.00000000000000000,0.01150023580666120,0.06988806609316990,0.03215955813212800,0.09191178627789050,0.00909375211999898,0.00753031373659311,0.12427854736787800,0.03511072372964640,0.06508812922842000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.20091869511371000,0.10606447605405500,1.07761733056383000,-0.00946858890705734,0.01928170712467990,-0.12633623167637400,-0.70838882769808900,0.03776206978661290,-0.04184650410611080,0.05466663454908550,0.02777340525439110,0.14323484974032300,-0.26014241921988500,-0.00409234921495278,0.29166542393404100,0.28566673583457400,0.05090599226889760,0.08432303800129650,0.07192208249291120,0.03789356448176990,0.09298384637352110,0.06293367150666690,0.03932296954875430,0.07349855529645390,0.12344288935442000,0.06595263174169770,0.06861430929259170,0.02083352326616590,0.04973840697669290,0.05835696197556850
Adjusted savings: natural resources depletion (% of GNI)                                            ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.08442116566994570,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.10954165281014400,0.11958664599702900,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,-0.17352062712162700,0.01358559264600440,0.05653633052257960,0.01606518424123110,-0.02294923749123880,-0.04451698546487190,0.09344632676604820,0.00547513443768222,-0.00831458075070086,-0.00860933246484143,0.00254980711242859,-0.00199501318520317,-0.00517727966455514,0.00576555933489088,0.04271902566986720,0.09497271970378200,0.05068492505342620,0.05581323579412460,0.04961014365835110,0.07065578816796940,0.09400170253957100,0.02386460996529130,0.04284812802305770,0.06626794768180490,0.08590059278720110,0.07199674025207480,0.03703295437384640,0.03425924891346800,0.04965112672192570,0.06337670941982960
Adjusted savings: net forest depletion (% of GNI)                                                   ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.12297881322933200,0.00952816037313076,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.13569116016507100,0.11015144980929600,0.67210801041491300,0.06041667716054910,0.09646679863259990,0.24269913023832900,0.25347690220974700,-0.00147835363551620,0.14719803246588500,0.04146083323720400,0.11601942473777100,-0.06804734776997170,0.05395941182027190,0.26639167844769400,0.55519592550447400,0.01219406428548100,0.00898151902001033,0.00939015058896360,0.00884475388169076,0.01170687524450790,0.01758255372860860,0.02673104766339670,0.00694005589473682,0.00683877891239365,0.04840077309510470,0.01248888709134510,0.04428854082665310,0.01116668810556960,0.00772727736990855,0.00897922548763124
Adjusted savings: particulate emission damage (% of GNI)                                            ,0.00000000000000000,0.82996715979076100,0.54293391909299700,0.62651059081160200,0.16173017653822500,0.05851430324702240,0.04367404218835120,0.22216202401412400,0.58455380980594800,0.05436732746692090,0.79222850011260400,0.00000000000000000,0.75516448165997400,0.85416900861103200,0.57544501355590900,0.12371393144500200,-0.22505456658284000,-0.13814873338761600,-0.01216119180777510,0.11593240068800400,-0.53525946195029300,-1.21132538182123000,-0.05491761389562090,0.07022972176528400,-0.18414271013587200,-0.36789059587197900,-0.10556658813360400,-0.01524784640537360,-0.42223147611599100,-0.76331445850400900,0.04622975997593700,0.48720353899115700,0.26553438177102500,0.47452071644142700,0.17597490748574000,0.15216575239649600,0.30882934754795500,0.14786999881281700,0.27485995508584900,0.12505588880709900,0.40795358325663600,0.05511479467333290,0.32226356542569900,0.41434624290706400,0.28026327253146400
"Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes               ",0.00000000000000000,0.00000000000000000,0.21601197669515100,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.02894255289494220,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.02905431465870590,-0.00565135031256125,0.00051458241280242,0.00363761641997200,0.00127838546310638,-0.00037065110659339,-0.00048694685504323,0.00214803008115169,-0.00012622589567057,-0.00093983376167572,0.00062814392592221,0.00024571451114214,0.00100191551933194,-0.00102840806379652,-0.00158288233907047,-0.00366444504205872,0.06519178013515590,0.04981873876993840,0.07687246118264470,0.03691906380809860,0.05068481976226740,0.02366028460127550,0.03348510199042460,0.02983018827056290,0.04050336975725210,0.03235769024906580,0.04416598763380630,0.09389676637602950,0.02583562748927430,0.04833707893543360,0.05264477323101210
Class                                                                                               ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.04328985177842950,0.00000000000000000,0.60093142325434200,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00287214214542324,0.00000000000000000,0.00000000000000000,0.56329128545228000,0.06619798970885650,-1.59438027381011000,0.03418017415769590,0.05757170708059500,0.54334481741307800,1.03254652219225000,-0.05910213234870750,0.07771609422505090,0.09087550708821150,0.20811856559618300,-0.36071390696377200,0.24490702718924700,0.07617037119773020,-0.05865140501056940,0.00207073717978966,0.00393417975149920,0.03957726136947110,0.00179382292476237,0.04839930976305120,0.04343199521788550,0.01474368009054820,0.31544870018336400,0.01945553918148140,0.01009836313813090,0.01547369907114220,0.00249070725648752,0.00316210597126378,0.01957775969472700,0.04459160909758690
GDP (current US$)                                                                                   ,0.13226635125732700,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00304676568915722,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.05580715327906150,0.00000000000000000,0.00000000000000000,0.48073473838154200,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00020791246297387,0.00000365772456204,0.00014889208252680,-0.00002637333251651,0.00003299020268820,0.00003814131807195,-0.00005825224077266,0.00000516973438086,0.00004543749801160,-0.00001394891325811,0.00000802143349555,-0.00003110915485340,0.00006331893042536,0.00010787537475833,0.00017797841424701,0.11792619467189900,0.04296222914013420,0.04018841802845440,0.02491964595660930,0.04037526074224470,0.02515582974702900,0.02712701112420130,0.03851958367282850,0.05045461198438390,0.02929130189975300,0.03019742398985760,0.12366860474096500,0.02252804463224070,0.03713046407657650,0.06554897907833340
"Life expectancy at birth, total (years)                                                             ",0.55965399166074800,0.05154356396873150,0.02503846915419250,0.00000000000000000,0.07673642713347830,0.15525865170928300,0.53048146369139300,0.13617898515577200,0.01407363341187020,0.06163548446419940,0.04354596978759020,0.11108457662069700,0.06830303325902460,0.00000000000000000,0.00000000000000000,0.04634997760267470,0.10156341258800200,0.78941243261696400,0.05790254217907190,0.10223365172291500,0.18744843214192300,0.20832137802095000,0.02041859563884510,0.09719370766919250,0.03404662899179690,0.07302173390797990,-0.18829764550529600,0.10502598499496900,0.20977029311434500,0.44048305096411800,0.14155504642890100,0.11190560444815400,0.10127977400387000,0.11565338405989700,0.16020508158562100,0.12880464263166300,0.18772076103454300,0.15843124238403700,0.15288174706959500,0.04723384728336060,0.13263591203774900,0.19363989218774500,0.42211806203955500,0.13915754021937600,0.13162702982964700
Population                                                                                          ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.05467354760633150,0.17742385247938500,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.07761799348066410,0.00000000000000000,0.00000000000000000,0.00214101138786939,-0.00053422469581759,-0.00230892410989877,-0.00071394768378755,-0.00006707939045190,-0.00069759413709000,-0.00175417778484176,0.00002715010432341,0.00009399063709597,-0.00042355808209530,-0.00042668243054049,-0.00055637750037138,0.00011662578243630,-0.00000707705719043,0.00049864671828183,0.03236719810291590,0.02366297904191660,0.02789323919409210,0.01894208734234740,0.02210598312934910,0.04209717271519890,0.06134070036641370,0.03465494155627620,0.03550570822300080,0.05166717660585530,0.01899782696303340,0.06566001007368300,0.02657095592815400,0.01897423398057290,0.01845258589288040
Renewable energy consumption                                                                        ,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.08634718028824690,0.04030024168762810,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.09604234945491380,0.00000000000000000,0.15037573399340400,-0.03146530250297180,0.00985094018052515,-0.03777686997045790,0.00860326834052311,-0.00749889287055183,-0.06141600057583700,-0.01508726354310640,0.00412435606761589,-0.00919291639778078,-0.00668344467888780,-0.00427967955219145,-0.01189807299652280,-0.00964332557947703,-0.01081440837031790,-0.05454328224092210,0.06292334659827470,0.05241974034670230,0.03010432686335730,0.03520131045557160,0.05265632864024820,0.06829718283401480,0.05916898484114360,0.09807145230056440,0.05099830179674600,0.07061611257064900,0.05483275111903040,0.11913502050925600,0.02551508575655800,0.05124420323476560,0.05920993260168440
